id	fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
63	198	physik	11	0	0	0	1	0	1	275	33	34	63	774	63	p0	601.5	730.6
63	199	physik	11	0	0	0	1	0	1	172	17	33	63	785	63	p0	772.5	719.2
63	200	physik	11	0	0	0	1	0	1	220	36	17	63	783	63	p0	737.1	726.4
63	201	physik	11	0	0	0	1	0	1	259	25	36	63	793	63	p0	896.3	706.9
63	202	physik	11	0	0	0	1	0	1	342	22	25	63	798	63	p0	982.9	705.7
63	203	physik	11	0	0	0	1	0	1	224	18	22	63	802	63	p0	1045.5	708.7
63	204	physik	11	0	0	0	1	0	1	149	33	18	63	805	63	p0	1091.5	711.6
63	205	physik	11	0	0	0	1	0	1	241	24	33	63	814	63	p0	1230.0	717.8
63	206	physik	11	0	0	0	1	0	1	153	22	24	63	819	63	p0	1313.2	717.6
63	207	physik	11	0	0	0	1	0	1	166	23	22	63	823	63	p0	1391.8	722.5
63	208	physik	11	0	0	0	1	0	1	137	98	23	63	829	63	p0	1475.4	724.1
63	209	physik	11	0	0	0	1	0	1	135	20	98	63	838	63	p0	138.3	784.1
63	210	physik	11	0	0	0	1	0	1	173	27	20	63	835	63	p0	102.2	813.1
63	211	physik	11	0	0	0	1	0	1	180	19	27	63	842	63	p0	217.6	796.0
63	212	physik	11	0	0	0	1	0	1	181	23	19	63	846	63	p0	289.7	799.9
63	213	physik	11	0	0	0	1	0	1	125	32	23	63	851	63	p0	372.5	803.5
63	214	physik	11	0	0	0	1	0	1	155	26	32	63	859	63	p0	479.2	806.1
63	215	physik	11	0	0	0	1	0	1	216	33	26	63	866	63	p0	584.1	818.7
63	216	physik	11	0	0	0	1	0	1	322	18	33	63	874	63	p0	726.8	810.4
63	217	physik	11	0	0	0	1	0	1	131	19	18	63	877	63	p0	785.0	807.8
63	218	physik	11	0	0	0	1	0	1	190	32	19	63	881	63	p0	851.6	800.0
63	219	physik	11	0	0	0	1	0	1	230	32	32	63	885	63	p0	930.0	795.2
63	220	physik	11	0	0	0	1	0	1	182	18	32	63	892	63	p0	1032.3	795.6
63	221	physik	11	0	0	0	1	0	1	210	27	18	63	895	63	p0	1092.2	803.9
63	222	physik	11	0	0	0	1	0	1	266	7	27	63	904	63	p0	1227.8	807.4
63	223	physik	11	0	0	0	1	0	1	192	19	7	63	906	63	p0	1262.6	810.5
63	224	physik	11	0	0	0	1	0	1	130	23	19	63	910	63	p0	1317.5	814.2
